p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag,precision_score,precision_trigger_ready,precision_trigger_arming,precision_trigger_fire,precision_trigger_confidence,precision_order_flow_ready,structure_flip_flag,momentum_trail_activation_rr,momentum_trail_lock_ratio,momentum_trail_price,analysis_timestamp,close,label
13.0,0.0001141904328063,-0.0003815127720118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9095144876398495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-22 20:02:48+00:00,,0
13.0,0.0001184970885326,-0.000388575085556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9002978925246651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:41:17+00:00,,0
13.0,0.0001252583453372,-0.0003940687515777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8415505430591612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:45:00+00:00,,0
13.0,0.0001418025249443,-0.0003720980533895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8911362319765181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 07:54:56+00:00,,0
31.0,0.0001915929975215,-0.0003524460892595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8034182975673975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 08:13:06+00:00,,0
3.0,0.0002285104924401,-0.0003846243730456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8868901816225873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 08:19:57+00:00,,0
3.0,0.0002469366343396,-0.0003838392668788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9413930853026448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 08:45:35+00:00,,0
3.0,0.0002549989001252,-0.0004113260197082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 08:59:48+00:00,,0
13.0,0.0002604886619852,-0.0004300304085485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 09:28:04+00:00,,0
13.0,0.0002769620396196,-0.0003923366183164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 09:44:02+00:00,,0
