ts_utc,event,asset,side,bar_dt,price,entry,risk,stop,net_r,days_held,reason
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-10-23 12:00:00,2721.98999,2660.51001,39.907650149999995,2724.6303005911664,1.3806,9,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-10-29 00:00:00,2751.780029,2751.780029,41.2767,2710.503329,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-10-31 12:00:00,2740.689941,2751.780029,41.276700435,2757.5736688171273,-0.3353,2,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-11-01 16:00:00,2734.159912,2734.159912,41.012399,2775.172311,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-11-18 12:00:00,2613.060059,2734.159912,41.01239868,2596.140594295857,2.6994,16,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-11-19 00:00:00,2624.52002,2624.52002,42.712725,2581.807295,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-11-25 00:00:00,2672.310059,2624.52002,42.712725308658605,2681.079126350594,1.0083,6,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-11-25 16:00:00,2625.72998,2625.72998,60.848819,2686.578799,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-11-29 00:00:00,2660.090088,2625.72998,60.848819282069826,2652.634629556761,-0.6165,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-11-29 04:00:00,2660.659912,2660.659912,43.783133,2616.876779,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-12-13 08:00:00,2665.090088,2660.659912,43.783132587206936,2679.539510781985,-0.1054,14,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2024-12-13 12:00:00,2660.100098,2660.100098,44.111042,2704.21114,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2024-12-20 12:00:00,2630.399902,2660.100098,44.111042249837496,2628.305264528567,0.5527,7,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2024-12-26 12:00:00,2636.52002,2636.52002,39.5478,2596.97222,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2024-12-30 12:00:00,2601.719971,2636.52002,39.5478003,2608.59465601855,-0.9733,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-01-02 04:00:00,2636.100098,2636.100098,39.541501,2596.558597,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-01-06 04:00:00,2626.939941,2636.100098,39.54150147,2633.943855802088,-0.325,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-01-08 12:00:00,2665.929932,2665.929932,39.988949,2625.940983,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-01-13 16:00:00,2658.97998,2665.929932,39.988948979999996,2660.3713443979454,-0.2805,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-01-15 16:00:00,2693.939941,2693.939941,40.409099,2653.530842,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-01-27 12:00:00,2741.939941,2693.939941,40.409099115,2746.738391771494,1.0012,11,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-01-27 16:00:00,2739.379883,2739.379883,41.090698,2780.470581,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-01-30 04:00:00,2769.219971,2739.379883,41.090698245,2768.603721415058,-0.7929,2,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-01-30 08:00:00,2777.699951,2777.699951,41.665499,2736.034452,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-02-03 00:00:00,2774.560059,2777.699951,41.665499265,2777.605754967417,-0.1554,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-02-03 12:00:00,2817.5,2817.5,42.715901,2774.784099,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-02-14 16:00:00,2880.76001,2817.5,42.715901298774476,2889.250880012234,1.2963,11,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-02-16 20:00:00,2879.310059,2879.310059,48.277891,2927.58795,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-02-18 12:00:00,2927.379883,2879.310059,48.27789079819817,2919.933042501111,-1.0434,1,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-02-18 16:00:00,2935.850098,2935.850098,44.037751,2891.812347,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-02-25 12:00:00,2905.840088,2935.850098,44.037751469999996,2912.071844765362,-0.8015,6,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-02-27 00:00:00,2905.790039,2905.790039,44.389438,2950.179477,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-03-04 04:00:00,2900.040039,2905.790039,44.38943846498226,2896.2888154637694,0.0248,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-03-04 08:00:00,2920.129883,2920.129883,48.895846,2871.234037,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-03-21 12:00:00,3011.209961,2920.129883,48.89584585293558,3013.080900769225,1.6239,17,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-03-24 16:00:00,3006.189941,3006.189941,45.092849,3051.28279,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-03-27 08:00:00,3054.669922,3006.189941,45.092849115,3042.11848315494,-1.1418,2,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-03-27 16:00:00,3057.580078,3057.580078,45.863701,3011.716377,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-04-03 08:00:00,3093.179932,3057.580078,45.86370117,3101.332604150117,0.6562,6,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-04-04 04:00:00,3092.909912,3092.909912,75.507418,3168.41733,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-04-09 13:00:00,3092.370117,3092.909912,75.50741825727044,3063.640848973114,-0.0584,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-04-09 21:00:00,3097.439941,3097.439941,104.777534,2992.662407,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-04-22 17:00:00,3394.4,3097.439941,104.77753440374198,3403.6770351146083,2.7455,12,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-04-23 13:00:00,3309.0,3309.0,119.33445,3428.33445,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-05-05 05:00:00,3282.62,3309.0,119.33444971443991,3276.1554385685795,0.1434,11,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-05-05 09:00:00,3319.62,3319.62,65.394599,3254.225401,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-05-08 05:00:00,3339.25,3319.62,65.39459859153376,3355.784481645907,0.2494,2,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-05-08 17:00:00,3309.4,3309.4,98.773021,3408.173021,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-05-15 17:00:00,3244.5,3309.4,98.77302129248037,3222.706859577225,0.5901,7,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-05-18 21:00:00,3246.38,3246.38,67.320164,3179.059836,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-05-27 05:00:00,3303.5,3246.38,67.32016406923918,3315.008209007049,0.7424,8,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-05-27 09:00:00,3299.1,3299.1,55.474018,3354.574018,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-06-02 05:00:00,3352.0,3299.1,55.47401778845244,3316.776264502758,-1.0488,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-06-02 09:00:00,3355.32,3355.32,56.276281,3299.043719,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-06-06 13:00:00,3322.59,3355.32,56.27628124904388,3327.1997181583674,-0.6651,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-06-06 17:00:00,3310.1,3310.1,65.634499,3375.734499,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-06-11 21:00:00,3365.71,3310.1,65.63449948742216,3353.0335789354463,-0.928,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-06-12 01:00:00,3370.3,3370.3,59.665763,3310.634237,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-06-16 13:00:00,3399.38,3370.3,59.665762968801644,3402.682295735864,0.4083,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-06-17 05:00:00,3379.13,3379.13,60.342297,3439.472297,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-06-22 13:00:00,3418.0,3379.13,60.34229693848152,3392.3377052313353,-0.7338,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-06-24 05:00:00,3330.3,3330.3,75.822827,3406.122827,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-07-01 01:00:00,3318.9,3330.3,75.82282744457883,3314.12934481419,0.0713,6,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-07-01 05:00:00,3339.629883,3339.629883,51.090816,3288.539067,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-07-07 01:00:00,3307.820068,3339.629883,51.09081589889061,3323.1198922242866,-0.7272,5,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-07-08 13:00:00,3300.209961,3300.209961,49.503149,3349.71311,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-07-10 21:00:00,3330.44,3300.209961,49.503149414999996,3329.9881888327436,-0.6773,2,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-07-11 09:00:00,3355.219971,3355.219971,50.3283,3304.891671,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-07-15 17:00:00,3324.6,3355.219971,50.328299564999995,3329.2471687486527,-0.7017,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-07-17 09:00:00,3313.169922,3313.169922,49.745631,3362.915553,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-07-20 21:00:00,3352.2,3313.169922,49.745630716633215,3348.534274886189,-0.8645,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-07-21 05:00:00,3365.86,3365.86,50.4879,3315.3721,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-07-23 13:00:00,3389.8,3365.86,50.4879,3392.3281955819875,0.4075,2,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-07-25 01:00:00,3360.949951,3360.949951,50.414249,3411.3642,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-08-01 09:00:00,3341.4,3360.949951,50.414249265,3334.5641454307543,0.2545,7,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-08-01 13:00:00,3346.02,3346.02,51.673874,3294.346126,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-08-11 09:00:00,3351.75,3346.02,51.673873689834615,3356.0851936519243,-0.0445,9,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-08-11 13:00:00,3340.98,3340.98,50.1147,3391.0947,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-08-22 13:00:00,3354.69,3340.98,50.1147,3341.337161650517,-0.4602,11,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-08-22 17:00:00,3363.42,3363.42,50.4513,3312.9687,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-09-10 05:00:00,3650.13,3363.42,50.451299999999996,3611.3342191009424,5.4029,18,time_limit
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-09-15 09:00:00,3658.38,3658.38,54.8757,3603.5043,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-09-18 13:00:00,3650.35,3658.38,54.8757,3659.067733703299,-0.2263,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-09-18 17:00:00,3647.61,3647.61,54.71415,3702.32415,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,short,2025-09-21 21:00:00,3695.18,3647.61,54.71415,3691.9088238097106,-0.9494,3,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-09-22 01:00:00,3695.29,3695.29,55.42935,3639.86065,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-10-09 08:00:00,4058.99,3695.29,55.42935,3989.1617493748354,6.2948,17,time_limit
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,long,2025-10-13 04:00:00,4071.01,4071.01,144.603792,3926.406208,,0,donchian_breakout
2026-09-07T12:55:15.865576Z,exit,GOLD_CFD,long,2025-10-17 12:00:00,4253.1,4071.01,144.6037922923714,4280.358559153195,1.2198,4,trail_stop
2026-09-07T12:55:15.865576Z,entry,GOLD_CFD,short,2025-10-21 12:00:00,4139.2,4139.2,187.388675,4326.588675,,0,donchian_breakout
